i,g,a
1,1,0
2,1,0
3,1,1
4,1,1
5,1,1
6,1,1
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,1
19,1,1
20,1,2
21,1,2
22,1,1
23,1,1
24,1,2
25,1,2
26,1,2
27,1,2
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,1
36,1,1
37,1,1
38,1,1
39,1,0
40,1,0
41,1,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,1
6,2,1
7,2,1
8,2,1
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,1
21,2,1
22,2,2
23,2,2
24,2,1
25,2,1
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,1
38,2,1
39,2,1
40,2,1
41,2,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,1
8,3,1
9,3,2
10,3,2
11,3,2
12,3,2
13,3,2
14,3,2
15,3,2
16,3,2
17,3,2
18,3,2
19,3,2
20,3,2
21,3,2
22,3,1
23,3,1
24,3,1
25,3,1
26,3,2
27,3,2
28,3,2
29,3,2
30,3,2
31,3,2
32,3,2
33,3,2
34,3,2
35,3,2
36,3,2
37,3,2
38,3,2
39,3,1
40,3,1
41,3,0
